tenure,MonthlyCharges,TotalCharges
4,25.2,102.5
35,49.2,1701.65
50,94.4,4914.9
9,90.8,809.75
25,79.85,2015.35
72,61.2,4390.25
19,73.85,1424.5
10,19.8,198.25
24,40.65,933.3
33,24.9,847.8
42,94.4,4014.6
21,82.35,1852.85
72,24.55,1750.7
39,20.15,826.0
56,109.8,6109.65
3,19.55,61.05
72,101.35,7323.15
51,19.6,967.9
5,53.8,283.95
3,31.0,95.05
72,115.15,8349.45
55,19.1,1001.5
42,99.0,4135.0
68,95.9,6503.2
31,99.45,3109.9
7,89.5,676.7
62,26.0,1638.7
16,73.25,1195.75
45,81.3,3541.1
52,89.45,4577.75
27,56.15,1439.35
34,77.2,2753.8
69,87.3,6055.55
8,19.7,168.9
72,24.65,1830.05
24,24.6,605.25
2,95.65,167.3
71,93.7,6585.35
32,93.2,2931.0
4,48.25,202.25
56,72.6,4084.35
1,49.95,49.95
26,98.65,2537.0
15,76.0,1130.85
1,69.1,69.1
10,45.25,428.7
57,53.5,3035.8
21,71.05,1524.85
31,73.9,2217.15
62,115.55,7159.05
71,25.45,1789.65
53,54.45,2854.55
27,86.45,2401.05
42,95.05,3944.5
53,74.1,3833.95
65,109.4,7227.45
5,25.45,134.75
48,19.95,1004.5
4,55.3,238.5
47,20.55,945.7
15,101.9,1667.25
11,64.05,733.95
72,25.2,1798.9
35,20.6,754.0
69,99.35,6856.45
54,65.3,3512.9
4,19.95,59.25
1,24.0,24.0
71,99.65,7181.25
7,19.45,136.75
2,80.2,146.05
6,19.55,128.6
38,20.25,814.75
2,45.35,89.5
17,86.75,1410.25
23,66.25,1533.8
2,70.2,115.95
7,81.1,576.65
12,79.55,958.25
13,94.1,1215.6
7,18.95,130.55
27,95.6,2595.25
31,79.45,2587.7
6,91.1,455.3
41,74.7,3187.65
26,19.8,457.3
31,90.7,2835.5
1,78.45,78.45
72,110.65,8065.65
53,73.9,3958.25
61,20.25,1278.8
33,95.0,3008.15
27,89.2,2383.6
1,91.7,91.7
72,117.6,8308.9
2,30.25,63.75
1,18.85,18.85
15,24.8,324.15
64,96.9,6314.35
1,70.0,70.0
36,40.65,1547.35
1,70.75,70.75
72,90.25,6369.45
6,44.7,276.5
70,51.05,3635.15
11,96.2,1222.05
26,85.7,2067.0
29,55.25,1620.2
58,75.8,4415.75
7,69.15,488.65
41,111.95,4534.9
25,20.05,520.1
64,93.4,5822.3
8,65.5,564.35
48,29.5,1423.05
16,49.95,810.2
47,20.05,1016.7
56,44.85,2564.95
1,19.1,19.1
33,82.1,2603.1
1,84.8,84.8
66,89.0,5898.6
26,20.25,493.95
45,70.05,3062.45
2,80.75,159.45
29,67.45,1801.1
4,50.55,235.65
25,55.1,1466.1
1,81.7,81.7
6,44.4,263.05
11,89.2,990.3
2,24.5,46.4
19,94.95,1760.25
71,91.05,6293.75
58,93.4,5435.6
10,44.85,435.4
52,49.15,2550.9
63,108.75,6871.7
69,99.45,7007.6
7,89.0,605.45
57,55.0,3094.05
45,115.65,5125.5
15,94.65,1285.05
10,70.3,738.2
1,18.85,18.85
4,55.2,220.65
72,82.3,5815.15
47,20.45,943.0
56,61.3,3346.8
57,70.35,4124.65
68,110.0,7611.85
18,20.15,390.85
9,74.05,678.45
8,20.25,174.65
68,25.05,1629.2
11,104.05,1133.65
51,19.1,1007.8
66,47.4,3177.25
50,69.5,3418.2
31,25.0,789.2
72,105.6,7581.5
29,74.95,2149.05
5,85.2,474.8
33,95.3,3275.15
56,75.75,4284.65
56,52.7,3019.7
35,60.55,1982.6
4,94.4,387.2
54,46.0,2424.05
30,25.1,789.55
1,40.2,40.2
19,20.25,383.65
66,100.05,6871.9
69,20.35,1442.65
69,25.6,1673.4
72,24.05,1709.15
49,25.25,1211.65
56,85.85,4793.8
46,94.15,4408.45
5,50.55,244.75
46,96.05,4399.5
43,115.05,4895.1
10,35.75,389.8
24,84.85,2048.8
52,20.85,1071.6
32,98.85,3145.9
7,38.55,280.0
13,40.55,590.35
47,55.3,2654.05
68,53.0,3656.25
6,19.7,94.45
10,24.5,270.15
44,74.85,3268.05
18,19.55,389.25
71,25.55,1898.1
26,49.5,1265.65
52,39.9,2020.9
9,19.5,178.85
37,65.6,2313.8
64,25.0,1584.8
69,84.45,5848.6
18,85.6,1601.5
18,24.65,471.35
1,20.35,20.35
1,69.25,69.25
49,59.75,2934.3
1,75.05,75.05
15,105.1,1582.75
52,83.8,4331.4
70,114.75,7842.3
4,64.4,253.0
2,90.0,190.05
17,94.2,1608.15
33,93.55,3055.5
50,19.85,943.1
2,72.6,154.3
50,19.75,989.05
47,19.75,948.9
12,19.45,227.45
69,53.65,3804.4
65,94.4,6126.15
10,100.6,1060.2
18,19.25,331.35
68,79.6,5515.8
24,19.75,498.1
55,94.75,5276.1
50,39.7,1932.75
24,29.1,688.0
1,25.75,25.75
59,44.3,2666.75
1,23.45,23.45
17,90.95,1612.2
17,20.75,418.25
9,24.6,190.1
52,68.75,3482.85
59,100.05,6034.85
72,90.95,6652.45
19,75.9,1375.6
72,88.55,6362.35
38,19.6,763.1
7,66.85,458.1
10,20.55,252.75
12,78.1,947.3
23,19.6,426.65
5,19.35,126.05
30,21.25,711.9
22,75.0,1573.95
32,91.05,2954.5
1,19.75,19.75
48,70.55,3420.5
42,22.95,1014.25
72,65.1,4754.3
10,20.0,198.7
46,44.95,2168.9
56,24.9,1334.0
4,48.55,201.0
70,25.35,1715.15
23,64.9,1509.8
3,55.1,154.65
47,26.9,1250.85
4,25.3,116.95
12,20.1,223.6
23,20.85,473.9
4,20.15,68.45
60,53.6,3237.05
22,69.75,1545.4
4,95.45,396.1
44,109.8,4860.35
56,98.7,5669.5
4,49.35,219.65
41,35.4,1412.4
18,60.6,1156.35
1,45.35,45.35
54,105.4,5643.4
72,55.3,3983.6
55,19.35,1153.25
6,69.25,418.4
25,89.5,2196.15
20,82.4,1592.35
63,84.65,5377.8
65,59.95,3921.1
23,79.1,1783.75
39,41.1,1597.05
5,78.95,378.4
59,64.05,3886.85
1,90.55,90.55
38,104.85,3887.25
55,20.5,1177.95
6,105.3,545.2
69,19.8,1436.95
17,95.65,1640.0
10,94.85,953.45
27,25.85,788.55
18,80.55,1411.65
11,102.0,1145.35
40,39.3,1637.4
70,93.9,6579.05
19,18.8,279.2
26,54.75,1406.9
10,70.15,735.5
18,71.1,1247.75
7,69.9,497.3
66,90.55,6130.95
4,19.7,117.8
14,95.6,1273.3
64,86.8,5327.25
51,111.5,5703.25
72,88.7,6501.35
49,90.05,4547.25
6,98.15,567.45
58,95.3,5817.7
1,78.8,78.8
64,69.25,4447.75
51,19.95,1028.75
59,101.1,6039.9
72,116.75,8277.05
30,90.5,2595.85
28,20.5,563.05
57,74.3,4166.35
13,89.4,1132.35
1,45.8,45.8
1,70.2,70.2
56,94.45,5124.6
71,24.45,1730.65
34,19.7,675.6
46,19.95,907.05
69,20.2,1376.5
4,97.95,384.5
25,19.5,516.3
12,45.05,523.1
63,79.85,4861.45
46,64.2,3009.5
9,20.4,181.8
60,59.85,3590.2
12,19.35,219.35
34,105.35,3688.6
1,19.85,19.85
6,19.85,138.85
71,82.55,5832.65
8,76.15,645.8
46,30.3,1380.1
31,20.65,702.05
3,101.55,298.35
30,51.2,1561.5
64,19.7,1274.05
66,54.65,3632.0
44,54.3,2317.1
19,103.3,2012.7
32,35.15,1051.05
58,19.15,1035.5
45,78.8,3597.5
14,50.1,709.5
18,83.25,1611.15
1,44.15,44.15
72,64.45,4720.0
38,19.95,756.4
1,69.55,69.55
65,71.0,4386.2
35,108.35,3726.15
25,60.35,1404.65
71,89.3,6388.65
72,20.5,1502.25
3,98.7,293.65
36,89.65,3348.1
27,53.8,1389.85
72,110.1,7746.7
52,24.8,1229.1
1,20.65,20.65
1,90.85,90.85
37,68.1,2479.25
11,48.55,501.0
51,56.15,2898.95
40,55.8,2283.3
34,62.65,2274.9
17,94.4,1607.2
48,58.95,2789.7
1,44.0,44.0
25,25.3,676.35
31,20.4,609.1
24,78.4,1832.4
34,56.25,1765.95
23,90.45,2117.25
14,61.4,815.55
68,85.0,5607.75
1,20.4,20.4
3,36.45,93.7
68,91.7,6424.7
51,110.05,5686.4
9,75.5,637.4
57,94.0,5438.95
2,50.2,109.25
8,19.65,169.75
19,105.0,2007.25
69,19.4,1346.2
16,75.1,1212.85
52,61.35,3169.55
43,91.25,4013.8
1,19.9,19.9
64,19.45,1208.6
72,20.7,1492.1
15,85.6,1345.55
27,30.75,805.1
1,69.95,69.95
66,74.6,4798.4
34,67.65,2339.3
31,49.2,1498.55
13,82.0,1127.2
71,108.05,7532.15
4,50.05,179.35
21,44.95,926.25
48,64.4,3035.35
12,20.1,232.4
3,81.35,233.7
9,98.3,923.5
60,61.4,3638.25
12,24.95,280.4
41,81.3,3190.65
12,89.4,1095.65
18,23.75,424.5
9,74.55,622.9
72,103.95,7517.7
72,85.3,6129.2
19,50.1,910.45
43,84.85,3645.6
59,76.75,4541.9
71,19.9,1355.1
4,78.45,330.05
72,106.85,7677.4
1,55.8,55.8
5,80.7,374.8
1,19.75,19.75
15,99.7,1566.75
56,96.95,5432.2
13,29.15,357.15
71,19.8,1388.45
1,20.45,20.45
8,100.6,819.4
13,89.05,1169.35
26,83.95,2254.2
72,74.4,5360.75
52,89.25,4652.4
2,44.15,92.65
3,90.7,237.65
62,56.15,3487.95
22,84.3,1855.65
18,20.1,370.5
22,85.35,1961.6
18,74.7,1294.6
1,49.25,49.25
67,50.95,3521.7
24,93.0,2248.05
27,19.4,529.8
4,51.75,201.1
3,54.65,189.1
4,83.25,308.05
30,64.5,1888.45
1,50.45,50.45
13,19.95,253.8
5,96.5,492.55
35,25.45,809.25
68,95.1,6683.4
3,20.85,72.0
24,69.45,1614.05
67,106.7,7009.5
35,96.75,3403.4
1,70.55,70.55
1,19.85,19.85
2,69.3,153.8
1,19.1,19.1
19,24.85,434.8
9,54.8,452.8
